"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
4.095199323E0;-1.023341656E1;-7.326855659E0;-1.941697598E0
4.111865312E0;-1.721490860E1;-6.104017258E0;-4.189852998E-2
4.128531302E0;-1.874001503E1;-5.002085686E0;5.363011956E-1
4.145197291E0;-9.265560150E0;-6.933009624E0;1.178545833E0
4.161863281E0;-4.576516628E0;-7.951742172E0;1.307234168E0
4.178529271E0;-1.462857246E0;-8.588600159E0;1.105522633E0
4.195195260E0;4.118026793E-1;-8.582015991E0;-2.813186944E-1
4.211861250E0;7.134721279E-1;-7.392696381E0;-1.771110654E0
4.228527239E0;4.255693555E-1;-5.788581371E0;-2.176329374E0
4.245193229E0;2.962824702E-1;-4.390965939E0;-1.264138460E0
4.261859218E0;-3.232172132E-2;-3.921702385E0;-1.137245819E-1
4.278525208E0;-1.307832718E0;-4.613028049E0;4.560954273E-1
4.295191198E0;-2.077568531E0;-5.623979568E0;1.164180517E0
4.311857187E0;-2.418143749E0;-5.859210014E0;2.526481390E0
4.328523177E0;-3.117250681E0;-5.382165432E0;4.150947094E0
4.345189166E0;-5.412093163E0;-4.814141273E0;3.415927172E0
4.361855156E0;-1.012268448E1;-3.949235678E0;-5.380968451E-1
4.378521146E0;-1.528997040E1;-3.583521366E0;-2.439691544E0
4.395187135E0;-1.751837349E1;-4.183867455E0;-1.390432596E0
4.411853125E0;-1.304241371E1;-7.787739754E0;-8.858546615E-2
4.428519114E0;-1.077570343E1;-1.567723274E1;3.510498285E0
4.445185104E0;-6.572083473E0;-2.074216652E1;1.153406620E0
4.461851093E0;-2.182913303E0;-1.815882301E1;-2.292448133E-1
4.478517083E0;1.372476101E0;-1.386003399E1;-3.412934542E0
4.495183073E0;1.696890473E0;-1.024778175E1;-2.508524895E0
4.511849062E0;1.818396211E0;-8.163030624E0;-1.967435241E0
4.528515052E0;9.540894032E-1;-7.572859764E0;-2.480991602E0
4.545181041E0;-5.129576921E-1;-8.200140953E0;-3.071162224E0
4.561847031E0;-2.458845139E0;-9.341576576E0;-2.649184227E0
4.578513021E0;-4.900332451E0;-1.086967564E1;-2.200271368E0
4.595179010E0;-8.197148323E0;-1.174236202E1;-2.465429306E0
4.611845000E0;-1.147900009E1;-9.641449928E0;-4.340687752E0
4.628510989E0;-1.240136623E1;-5.969343185E0;-2.244564056E0
4.645176979E0;-9.375095367E0;-4.574720860E0;4.171896577E-1
4.661842968E0;-6.442796707E0;-4.730942726E0;2.196081400E0
4.678508958E0;-4.865616322E0;-4.977545261E0;2.273294449E0
4.695174948E0;-4.088697910E0;-5.494692802E0;1.005564690E0
4.711840937E0;-3.745728493E0;-6.537367821E0;-4.788403511E-1
4.728506927E0;-3.331531763E0;-7.626131058E0;-1.556231141E0
4.745172916E0;-2.425326347E0;-8.270171165E0;-1.854309201E0
4.761838906E0;-2.088342428E0;-8.670002937E0;-1.883638144E0
4.778504896E0;-2.200271368E0;-9.064447403E0;-1.756146908E0
4.795170885E0;-2.642600060E0;-9.194333076E0;-1.305438519E0
4.811836875E0;-3.281253338E0;-9.094973564E0;-2.232593149E-1
4.828502864E0;-4.148552895E0;-9.091382027E0;5.518634915E-1
4.845168854E0;-5.279214859E0;-9.223662376E0;2.741360962E-1
4.861834843E0;-6.162675381E0;-8.959102631E0;-3.770867586E-1
4.878500833E0;-7.089231014E0;-8.164826393E0;-4.309563041E-1
4.895166823E0;-8.148665428E0;-6.918045998E0;2.286462635E-1
4.911832812E0;-8.794501305E0;-5.794566631E0;7.972691655E-1
4.928498802E0;-9.348160744E0;-5.312733650E0;1.043273449E0
4.945164791E0;-9.576807022E0;-5.892728806E0;6.284779310E-1
4.961830781E0;-1.087506294E1;-8.004414558E0;7.775170207E-1
4.978496771E0;-1.065180302E1;-1.032260036E1;4.381389022E-1
4.995162760E0;-8.793304443E0;-1.248516369E1;-2.519897223E-1
5.011828750E0;-5.567716122E0;-1.478419590E1;8.379706144E-1
5.028494739E0;-1.982997537E0;-1.675821495E1;3.527856112E0
5.045160729E0;-4.507084787E-1;-1.757882690E1;2.921524525E0
5.061826718E0;1.744175911E0;-1.718438339E1;-9.894038439E-1
5.078492708E0;3.830124140E0;-1.538094997E1;-3.879803896E0
5.095158698E0;2.537255287E0;-1.170465374E1;-4.358644009E0
5.111824687E0;-2.735375464E-1;-9.433753014E0;-4.735731125E0
5.128490677E0;-6.462548733E0;-7.744045258E0;-2.692279816E0
5.145156666E0;-1.610938644E1;-5.739500046E0;2.487575531E0
5.161822656E0;-1.415691471E1;-6.372167587E0;3.143586874E0
5.178488646E0;-6.989273548E0;-8.352770805E0;1.658583283E0
5.195154635E0;-4.990114689E0;-8.035539627E0;5.482721925E-1
5.211820625E0;-3.283647537E0;-7.096413612E0;1.298854351E-1
5.228486614E0;-1.919551253E0;-6.208763599E0;-1.043871999E0
5.245152604E0;-1.431732655E0;-5.041590214E0;-1.878251195E0
5.261818593E0;-5.177460909E-1;-4.273051262E0;-1.926135302E0
5.278484583E0;5.644330382E-1;-3.871424198E0;-1.565209389E0
5.295150573E0;1.575384736E0;-3.879803896E0;-1.229422569E0
5.311816562E0;2.026691675E0;-3.959411144E0;-5.704185367E-1
5.328482552E0;2.208052635E0;-4.207211018E0;1.298854351E-1
5.345148541E0;2.029085875E0;-4.580706596E0;7.212532759E-1
5.361814531E0;2.783259451E-1;-5.184045315E0;3.447052002E0
5.378480521E0;-4.739322186E0;-6.745064735E0;8.419808388E0
5.395146510E0;-1.564131927E1;-9.547477722E0;9.021351814E0
5.411812500E0;-2.630748749E1;-9.145850182E0;-3.205836058E0
5.428478489E0;-2.952409744E1;-8.101978302E0;-5.908889771E0
5.445144479E0;-1.712632370E1;-5.759850502E0;2.398990154E0
5.461810468E0;-8.683171272E0;-4.904522419E0;1.962646842E0
5.478476458E0;-4.953603268E0;-1.222898388E1;-7.152677774E-1
5.495142448E0;-4.207809448E0;-2.167650414E1;-7.690176010E0
5.511808437E0;-3.776254654E0;-2.232054329E1;-5.096656799E0
5.528474427E0;7.649474144E-1;-1.485542297E1;3.545214176E0
5.545140416E0;4.353855610E0;-9.736021042E0;2.908356428E0
5.561806406E0;4.431068897E0;-7.828441143E0;-6.386532784E-1
5.578472396E0;3.186083794E0;-8.013393402E0;-2.797624588E0
5.595138385E0;7.469909191E-1;-1.018852520E1;-4.106055737E0
5.611804375E0;-8.032546639E-1;-1.215476322E1;-2.834734917E0
5.628470364E0;-2.044049740E0;-1.336144066E1;-1.695693374E0
5.645136354E0;-2.728192806E0;-1.311064816E1;-1.277306557E0
5.661802343E0;-3.933673382E0;-1.142632771E1;-1.162384868E0
5.678468333E0;-5.486911774E0;-8.960898399E0;-1.981800437E0
5.695134323E0;-7.261015415E0;-6.364386559E0;-4.501099110E0
5.711800312E0;-8.899846077E0;-3.878606796E0;-4.845265865E0
