"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
4.161863281E0;1.962748319E-1;9.723193645E-1;1.297624230E0
4.178529271E0;-4.512723088E-1;-2.515353858E-1;8.568714261E-1
4.195195260E0;-1.014397264E0;-1.224121094E0;4.158523083E-1
4.211861250E0;-1.274854302E0;-1.282044768E0;1.055942550E-1
4.228527239E0;-1.194027424E0;-6.885597706E-1;5.912213027E-2
4.245193229E0;-8.472840786E-1;-1.660479754E-1;1.737711281E-1
4.261859218E0;-4.741754830E-1;-1.624527015E-2;2.166479975E-1
4.278525208E0;-3.069290817E-1;1.957421899E-1;1.127847880E-1
4.295191198E0;-4.370244145E-1;6.562023759E-1;-1.126516312E-1
4.311857187E0;-7.069355845E-1;8.398272395E-1;-4.715123177E-1
4.328523177E0;-7.631282210E-1;5.689839721E-1;-8.771114349E-1
4.345189166E0;-4.800344408E-1;3.994738683E-3;-1.174053669E0
4.361855156E0;-3.410175145E-1;-5.566002727E-1;-1.100417376E0
4.378521146E0;-3.611243665E-1;-8.760461807E-1;-5.094623566E-1
4.395187135E0;-3.861580743E-3;-3.699128032E-1;4.850944281E-1
4.411853125E0;3.625891209E-1;2.890859246E-1;1.012000442E0
4.428519114E0;3.340933025E-1;8.454198837E-1;8.306393027E-1
4.445185104E0;-4.356928170E-1;4.407528341E-1;2.263685223E-3
4.461851093E0;-1.269128442E0;-7.406245470E-1;-8.699209094E-1
4.478517083E0;-1.395495415E0;-5.346291661E-1;-1.198554754E0
4.495183073E0;-7.484808564E-1;2.115879953E-1;-1.313336968E0
4.511849062E0;-8.615319431E-2;-1.411474310E-2;-1.465003848E0
4.528515052E0;3.596596420E-1;-3.247722387E-1;-1.543700218E0
4.545181041E0;6.154560447E-1;-2.699111700E-1;-1.332245350E0
4.561847031E0;8.033419251E-1;-4.954807460E-1;-9.803088903E-1
4.578513021E0;9.578051567E-1;-1.172722101E0;-6.850976944E-1
4.595179010E0;9.254477620E-1;-1.703622937E0;-7.149250507E-1
4.611845000E0;2.463422120E-1;-6.431529522E-1;-1.109738350E0
4.628510989E0;-7.740471959E-1;8.265114427E-1;-1.351819515E0
4.645176979E0;-1.184440017E0;8.282424808E-1;-1.177782059E0
4.661842968E0;-9.598025680E-1;5.572660565E-1;-1.082174659E0
4.678508958E0;-4.836297035E-1;1.569932252E-1;-9.647293687E-1
4.695174948E0;-1.346226931E-1;-2.390185297E-1;-8.009451032E-1
4.711840937E0;-8.815056831E-2;-3.865575492E-1;-6.699176431E-1
4.728506927E0;-2.900180221E-1;-2.304964215E-1;-5.917539597E-1
4.745172916E0;-5.906887054E-1;-2.396843210E-2;-6.627271175E-1
4.761838906E0;-8.438219428E-1;5.313002318E-2;-8.672577739E-1
4.778504896E0;-9.861677885E-1;9.014793485E-2;-1.050483108E0
4.795170885E0;-9.624657035E-1;2.520680130E-1;-1.127581596E0
4.811836875E0;-7.139929533E-1;4.390217662E-1;-1.112667918E0
4.828502864E0;-3.085269928E-1;5.905555487E-1;-1.026780963E0
