"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
4.178529271E0;5.109770775E0;-1.245209694E0;6.424758434E-1
4.195195260E0;6.996284962E0;-1.271281242E0;-7.520554662E-1
4.211861250E0;7.270584583E0;-8.336782455E-2;-2.218306065E0
4.228527239E0;6.955868721E0;1.516229153E0;-2.542330503E0
4.245193229E0;6.818248272E0;2.887484074E0;-1.539038897E0
4.261859218E0;6.488470554E0;3.321524620E0;-3.316143751E-1
4.278525208E0;5.205495834E0;2.607698441E0;2.954636216E-1
4.295191198E0;4.404962540E0;1.602949142E0;1.122712851E0
4.311857187E0;3.989866972E0;1.412081718E0;2.650021553E0
4.328523177E0;3.168757915E0;1.971372604E0;4.409243107E0
4.345189166E0;7.260541916E-1;2.647321224E0;3.718081474E0
4.361855156E0;-4.102384090E0;3.606823444E0;-2.478822470E-1
4.378521146E0;-9.291248322E0;4.005040169E0;-2.182184696E0
4.395187135E0;-1.140940952E1;3.342003822E0;-1.164790154E0
4.411853125E0;-6.780148506E0;-3.631567955E-1;1.214478016E-1
4.428519114E0;-4.395943165E0;-8.304134369E0;3.752518654E0
4.445185104E0;-1.933321953E-1;-1.331564140E1;1.489451885E0
4.461851093E0;4.074900627E0;-1.060441399E1;1.858705878E-1
4.478517083E0;7.451441765E0;-6.167561054E0;-2.863991022E0
4.495183073E0;7.572043896E0;-2.421238422E0;-1.834227800E0
4.511849062E0;7.470188618E0;-1.952743530E-1;-1.277976274E0
4.528515052E0;6.375792503E0;5.392599106E-1;-1.861795187E0
4.545181041E0;4.709796429E0;3.603935242E-2;-2.549451828E0
4.561847031E0;2.621378899E0;-1.011392593E0;-2.271253586E0
4.578513021E0;8.939552307E-2;-2.467550278E0;-2.045207977E0
4.595179010E0;-3.294090748E0;-3.266788483E0;-2.569967508E0
4.611845000E0;-6.706816673E0;-1.072800636E0;-4.513442039E0
4.628510989E0;-7.789945602E0;2.694066048E0;-2.232336998E0
4.645176979E0;-4.915796280E0;4.157474041E0;6.611520052E-1
4.661842968E0;-2.135499477E0;4.057865620E0;2.609928846E0
4.678508958E0;-6.986060143E-1;3.859629631E0;2.758077860E0
4.695174948E0;-3.796720505E-2;3.382292747E0;1.487387419E0
4.711840937E0;2.080037594E-1;2.373759270E0;-9.863793850E-3
4.728506927E0;5.336809158E-1;1.315418720E0;-1.054585099E0
4.745172916E0;1.335810184E0;7.053575516E-1;-1.260782242E0
4.761838906E0;1.535476685E0;3.483533859E-1;-1.155387044E0
4.778504896E0;1.258952618E0;2.532958984E-3;-8.700132966E-1
4.795170885E0;6.388192177E-1;-7.913017273E-2;-2.586687803E-1
4.811836875E0;-1.765322685E-1;6.618976593E-2;9.516766071E-1
4.828502864E0;-1.208053827E0;1.143245697E-1;1.796100855E0
4.845168854E0;-2.484614372E0;2.661514282E-2;1.540553808E0
4.861834843E0;-3.501133442E0;3.313150406E-1;9.026286602E-1
4.878500833E0;-4.550749779E0;1.154890060E0;8.806137443E-1
4.895166823E0;-5.698666573E0;2.413832664E0;1.589316607E0
4.911832812E0;-6.378637314E0;3.528792381E0;2.209251404E0
4.928498802E0;-6.905527115E0;3.988578796E0;2.485467911E0
4.945164791E0;-7.042957306E0;3.378811359E0;2.054735661E0
4.961830781E0;-8.153461456E0;1.229516983E0;2.122959375E0
4.978496771E0;-7.641065598E0;-1.145051003E0;1.644239187E0
4.995162760E0;-5.441784859E0;-3.382373810E0;7.757028341E-1
5.011828750E0;-1.850778818E0;-5.775157928E0;1.645552635E0
5.028494739E0;2.084966183E0;-7.851508141E0;4.028681755E0
5.045160729E0;3.944955349E0;-8.787247658E0;3.026432276E0
5.061826718E0;6.450893402E0;-8.537746429E0;-1.244418144E0
5.078492708E0;8.782182693E0;-6.875260353E0;-4.345864773E0
5.095158698E0;7.662849903E0;-3.314915657E0;-4.911750317E0
5.111824687E0;4.976366043E0;-1.133104324E0;-5.319201946E0
5.128490677E0;-1.098320484E0;4.860858917E-1;-3.238544941E0
5.145156666E0;-1.048338699E1;2.338068008E0;1.983929634E0
5.161822656E0;-8.141090393E0;1.437660694E0;2.609265089E0
5.178488646E0;-6.569738388E-1;-7.989568710E-1;1.023735642E0
5.195154635E0;1.542836666E0;-6.673145294E-1;-1.925725341E-1
5.211820625E0;3.381610632E0;1.276903152E-1;-7.100582123E-1
5.228486614E0;4.826996803E0;9.065542221E-1;-1.957993746E0
5.245152604E0;5.368382454E0;1.989673615E0;-2.796341181E0
5.261818593E0;6.316622734E0;2.694460869E0;-2.781096935E0
5.278484583E0;7.403697968E0;3.059450626E0;-2.314552307E0
5.295150573E0;8.380998611E0;3.048808098E0;-1.846325397E0
5.311816562E0;8.761264801E0;3.003020763E0;-1.028110504E0
5.328482552E0;8.834230423E0;2.821437836E0;-1.415447593E-1
5.345148541E0;8.488395691E0;2.563485146E0;6.672267914E-1
5.361814531E0;6.499540329E0;2.134822369E0;3.571735382E0
5.378480521E0;1.205330372E0;7.924728394E-1;8.537920952E0
5.395146510E0;-9.919901848E0;-1.800204754E0;8.896728516E0
5.411812500E0;-2.061495781E1;-1.315080643E0;-3.504727364E0
5.428478489E0;-2.362333488E1;-3.508968353E-1;-6.198848724E0
5.445144479E0;-1.091777229E1;1.781577110E0;2.260331631E0
5.461810468E0;-2.227990150E0;2.426390648E0;1.943571687E0
5.478476458E0;1.654353619E0;-5.020955086E0;-6.465812325E-1
5.495142448E0;2.405089378E0;-1.442673683E1;-7.403028011E0
5.511808437E0;2.751363516E0;-1.495780945E1;-4.504078865E0
5.528474427E0;7.225548744E0;-7.443133831E0;4.272918224E0
5.545140416E0;1.073423576E1;-2.274783611E0;3.526832342E0
5.561806406E0;1.064917278E1;-2.566156387E-1;-1.646059155E-1
5.578472396E0;9.164072990E0;-2.737717628E-1;-2.410306215E0
5.595138385E0;6.462948322E0;-2.263348579E0;-3.713388681E0
5.611804375E0;4.685017586E0;-4.067344666E0;-2.408783197E0
5.628470364E0;3.261875629E0;-5.140377045E0;-1.280755043E0
5.645136354E0;2.407282352E0;-4.763921738E0;-9.575884938E-1
5.661802343E0;9.940752983E-1;-2.939888000E0;-1.034957647E0
5.678468333E0;-8.223500252E-1;-3.237886429E-1;-2.093369961E0
5.695134323E0;-2.887760162E0;2.415763378E0;-4.760373116E0
5.711800312E0;-4.790410519E0;5.019087791E0;-4.967568874E0
5.728466302E0;-5.227635384E0;6.199709892E0;-1.614454269E0
5.745132291E0;-4.125926971E0;6.890226364E0;1.535297394E0
5.761798281E0;-2.995336056E0;6.494917870E0;2.088867903E0
5.778464271E0;-2.779490471E0;5.348635674E0;6.736522913E-1
5.795130260E0;-2.617823839E0;3.169737339E0;-9.987246990E-2
5.811796250E0;-1.214048624E0;5.697317123E-1;4.638117552E-2
5.828462239E0;5.261721611E-1;-1.632005692E0;-6.013768911E-2
5.845128229E0;2.151615858E0;-2.789000511E0;2.299411893E-1
5.861794218E0;2.758327484E0;-2.955563545E0;1.216716528E0
5.878460208E0;9.642817974E-1;-2.228759766E0;2.229534388E0
5.895126198E0;-2.562154055E0;-8.071088791E-1;2.453210831E0
5.911792187E0;-5.561015129E0;5.794782639E-1;1.835412025E0
5.928458177E0;-7.436987877E0;2.394522667E0;9.184910655E-1
5.945124166E0;-8.515165329E0;4.314465523E0;5.158747435E-1
5.961790156E0;-8.952744484E0;5.720816612E0;7.455801964E-1
5.978456146E0;-8.402021408E0;5.552140713E0;2.127928734E0
5.995122135E0;-6.450036049E0;3.184523106E0;3.740879774E0
6.011788125E0;-4.858984470E0;-1.273860931E-1;3.563528538E0
