"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
6.850690042E0;-5.191418901E-2;3.151703626E-3;1.724340487E-3
6.870849042E0;4.963341355E-2;3.412522376E-2;3.553245217E-2
6.891007042E0;-3.979305178E-2;2.825252712E-3;1.812191680E-2
6.911166042E0;-8.757711202E-2;-1.010443270E-1;-9.577093646E-3
6.931325042E0;-5.050959997E-3;-4.610370379E-3;2.043573000E-2
6.951484042E0;3.840996698E-2;-1.172686927E-2;3.476753086E-2
6.971643042E0;6.753242761E-2;-6.342667341E-2;9.818959981E-2
6.991802042E0;6.978890300E-2;-1.776259206E-2;1.740240455E-1
7.011961042E0;7.752437890E-2;2.580833435E-2;2.514320612E-1
7.032120042E0;6.904297322E-2;-2.280775085E-2;3.576041758E-1
7.052279042E0;1.023666635E-1;-2.383094877E-1;3.685927093E-1
7.072438042E0;-4.825379327E-2;-1.058381051E-1;2.978115380E-1
7.092597042E0;-1.073998511E-1;-5.153704435E-2;1.315109134E-1
7.112756042E0;-4.590302333E-2;-1.965595186E-1;-9.221735597E-2
7.132915042E0;-4.502851982E-3;-2.296676636E-1;-6.431914866E-2
7.153073042E0;1.660619117E-2;-2.340841740E-1;3.937547095E-3
7.173232042E0;-3.638121486E-2;-1.875064373E-1;9.090617299E-3
7.193391042E0;-2.225702256E-2;-1.718484461E-1;1.335950475E-2
7.213550042E0;1.125501189E-2;-1.687409133E-1;-1.982409973E-3
7.233709042E0;-3.270460293E-2;9.710025042E-4;1.535314694E-2
7.253868042E0;-1.017415449E-1;1.536435932E-1;-4.081409052E-2
7.274027042E0;-3.949894756E-2;-2.832673863E-2;-3.040405922E-2
7.294186042E0;-5.683075637E-3;-6.385321170E-2;-2.333916165E-2
7.314345042E0;-9.934042580E-3;-4.198578745E-2;-1.074343454E-2
7.334504042E0;1.591072045E-2;-6.389842182E-2;-5.483448040E-3
7.354663042E0;-2.642751671E-3;-3.751974553E-2;-2.303945646E-2
7.374822042E0;-1.823103242E-2;-2.846739441E-2;-1.089384407E-2
7.394980042E0;-2.031714655E-2;-1.623974182E-2;-2.805966884E-3
7.415139042E0;-3.691600636E-2;5.124587566E-3;9.508816525E-3
