"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
5.547650932E2;5.227386475E0;-2.108892822E1;2.002288818E1
5.547801722E2;5.206321716E0;-2.107411194E1;2.031530762E1
5.547952522E2;4.909233093E0;-2.125704956E1;1.960354614E1
5.548103312E2;4.854179382E0;-2.130019379E1;1.995693970E1
5.548254102E2;5.179130554E0;-2.156824493E1;1.989633179E1
5.548404892E2;5.302162170E0;-2.118505859E1;1.976058960E1
5.548555682E2;5.183959961E0;-2.121705627E1;1.989999390E1
5.548706482E2;5.279838562E0;-2.134721375E1;1.944647217E1
5.548857272E2;5.168823242E0;-2.133020782E1;1.979806519E1
5.549008062E2;5.223663330E0;-2.114583588E1;1.972961426E1
5.549158852E2;5.154136658E0;-2.124494934E1;2.006961060E1
5.549309642E2;5.073669434E0;-2.153616333E1;2.069503784E1
5.549460442E2;5.130691528E0;-2.121754456E1;2.020071411E1
5.549611232E2;5.180603027E0;-2.111773682E1;1.976388550E1
5.549762022E2;4.988594055E0;-2.100588989E1;2.035513306E1
5.549912812E2;4.884872437E0;-2.107193756E1;2.028137207E1
5.550063602E2;5.164093018E0;-2.109838867E1;2.058306885E1
5.550214402E2;5.315017700E0;-2.068553162E1;2.061257935E1
5.550365192E2;5.246292114E0;-2.108398438E1;2.026641846E1
5.550515982E2;5.209091187E0;-2.119637299E1;2.043115234E1
5.550666772E2;4.973335266E0;-2.099903870E1;1.981802368E1
5.550817562E2;4.942306519E0;-2.083779144E1;2.052667236E1
5.550968362E2;5.154861450E0;-2.096492767E1;2.043762207E1
5.551119152E2;5.018814087E0;-2.105561829E1;2.006448364E1
5.551269942E2;4.968330383E0;-2.130735779E1;2.065304565E1
5.551420732E2;4.978126526E0;-2.108100891E1;2.030310059E1
5.551571522E2;4.717384338E0;-2.117662811E1;1.988088989E1
5.551722322E2;4.891319275E0;-2.114696503E1;2.039352417E1
5.551873112E2;4.974098206E0;-2.124145508E1;2.022610474E1
5.552023902E2;5.056991577E0;-2.122592926E1;2.014318848E1
5.552174692E2;4.998565674E0;-2.083667755E1;1.985684204E1
5.552325482E2;5.148002625E0;-2.132981110E1;1.992745972E1
5.552476282E2;5.006088257E0;-2.173743439E1;2.033721924E1
5.552627072E2;4.974075317E0;-2.150420380E1;2.022052002E1
5.552777862E2;5.012489319E0;-2.130506134E1;2.039715576E1
5.552928652E2;5.096656799E0;-2.122313690E1;2.008227539E1
5.553079442E2;5.031242371E0;-2.116711426E1;2.003524780E1
5.553230242E2;4.955810547E0;-2.143226624E1;2.071508789E1
5.553381032E2;5.019187927E0;-2.133872986E1;1.994573975E1
5.553531822E2;5.193595886E0;-2.137315369E1;1.975573730E1
5.553682612E2;5.229965210E0;-2.139059448E1;2.001959229E1
5.553833402E2;5.166427612E0;-2.152131653E1;2.000244141E1
5.553984202E2;5.258155823E0;-2.135466003E1;2.054849243E1
5.554134992E2;5.127021790E0;-2.123569489E1;1.999020386E1
5.554285782E2;5.108924866E0;-2.151276398E1;1.996823120E1
5.554436572E2;5.143180847E0;-2.141216278E1;2.033624268E1
5.554587362E2;5.162445068E0;-2.146902466E1;2.008621216E1
5.554738162E2;5.302879333E0;-2.157928467E1;2.005780029E1
5.554888952E2;5.212600708E0;-2.173556519E1;2.031820679E1
5.555039742E2;5.179832458E0;-2.152229309E1;2.001516724E1
5.555190532E2;5.249908447E0;-2.167619324E1;2.001296997E1
5.555341332E2;5.461647034E0;-2.154579163E1;1.978863525E1
5.555492122E2;5.243789673E0;-2.161242676E1;2.001257324E1
5.555642912E2;4.948135376E0;-2.157137299E1;2.011145020E1
5.555793702E2;5.153694153E0;-2.156237030E1;2.005004883E1
5.555944493E2;5.177352905E0;-2.151802063E1;2.043652344E1
5.556095293E2;5.268493652E0;-2.148905182E1;1.980364990E1
5.556246083E2;5.219322205E0;-2.136677551E1;2.005575562E1
5.556396873E2;5.342773438E0;-2.150833893E1;1.993261719E1
5.556547663E2;5.306480408E0;-2.146424866E1;1.945666504E1
5.556698453E2;5.540985107E0;-2.154105377E1;1.996362305E1
5.556849253E2;5.422744751E0;-2.152664185E1;1.986865234E1
5.557000043E2;5.431144714E0;-2.128925323E1;1.970806885E1
5.557150833E2;5.340522766E0;-2.155632019E1;2.021032715E1
5.557301623E2;5.254508972E0;-2.150386047E1;1.981283569E1
5.557452413E2;5.145614624E0;-2.159132385E1;2.012265015E1
5.557603213E2;5.089637756E0;-2.149623871E1;2.025369263E1
5.557754003E2;5.091430664E0;-2.152307129E1;1.975659180E1
5.557904793E2;5.139984131E0;-2.172129822E1;2.061645508E1
5.558055583E2;5.177101135E0;-2.139710999E1;1.995257568E1
5.558206373E2;5.247543335E0;-2.141159058E1;1.968438721E1
5.558357173E2;5.329307556E0;-2.190257263E1;1.990902710E1
5.558507963E2;4.861831665E0;-2.165668488E1;1.997393799E1
5.558658753E2;5.328384399E0;-2.158020020E1;2.033712769E1
5.558809543E2;5.190734863E0;-2.141500854E1;2.009503174E1
5.558960333E2;5.155784607E0;-2.186092377E1;2.055117798E1
5.559111133E2;4.934463501E0;-2.188306427E1;2.015765381E1
5.559261923E2;5.091423035E0;-2.149506378E1;1.959054565E1
5.559412713E2;4.987915039E0;-2.148076630E1;2.023370361E1
5.559563503E2;5.119194031E0;-2.163116455E1;1.999551392E1
5.559714293E2;5.196289062E0;-2.152524567E1;1.996057129E1
5.559865093E2;5.324134827E0;-2.121842957E1;1.994747925E1
5.560015883E2;5.221855164E0;-2.162296295E1;1.992568970E1
5.560166673E2;5.480583191E0;-2.170543671E1;1.976193237E1
5.560317463E2;5.075073242E0;-2.182041168E1;1.965850830E1
5.560468263E2;5.091110229E0;-2.146372986E1;1.972024536E1
5.560619053E2;4.978271484E0;-2.162236786E1;1.992834473E1
5.560769843E2;4.967658997E0;-2.137999725E1;1.971197510E1
5.560920633E2;4.961456299E0;-2.202098083E1;1.998663330E1
5.561071423E2;4.941276550E0;-2.195183563E1;2.031433105E1
5.561222223E2;5.163497925E0;-2.178125000E1;1.977737427E1
5.561373013E2;5.276771545E0;-2.149096680E1;1.948764038E1
5.561523803E2;5.303337097E0;-2.171827698E1;1.947109985E1
5.561674593E2;5.057121277E0;-2.201029968E1;1.996389771E1
5.561825383E2;5.138610840E0;-2.163623810E1;2.003543091E1
5.561976183E2;5.212974548E0;-2.169854736E1;2.012234497E1
5.562126973E2;5.259483337E0;-2.194143677E1;2.039245605E1
5.562277763E2;5.126548767E0;-2.194322968E1;2.001889038E1
5.562428553E2;5.202377319E0;-2.170711517E1;1.976678467E1
5.562579343E2;5.129989624E0;-2.159194946E1;2.017071533E1
5.562730143E2;5.292778015E0;-2.155630493E1;1.973590088E1
5.562880933E2;5.200820923E0;-2.183771515E1;1.955786133E1
5.563031723E2;5.054786682E0;-2.183621979E1;1.962664795E1
5.563182513E2;5.127929688E0;-2.139043427E1;1.966555786E1
5.563333303E2;4.959297180E0;-2.177747345E1;2.026049805E1
5.563484103E2;5.153007507E0;-2.187413025E1;1.957791138E1
5.563634893E2;4.999237061E0;-2.196788025E1;1.985556030E1
5.563785683E2;5.289566040E0;-2.187372589E1;2.034228516E1
5.563936473E2;5.262351990E0;-2.161319733E1;2.012585449E1
5.564087273E2;5.156494141E0;-2.196887970E1;2.010061646E1
5.564238063E2;5.264877319E0;-2.158716583E1;1.975369263E1
5.564388853E2;5.302101135E0;-2.132899475E1;1.984094238E1
5.564539643E2;5.255821228E0;-2.135131073E1;1.972662354E1
5.564690433E2;5.367012024E0;-2.175241852E1;1.941973877E1
5.564841233E2;5.193420410E0;-2.157873535E1;1.981503296E1
5.564992023E2;5.156761169E0;-2.184953308E1;1.960821533E1
5.565142813E2;5.136093140E0;-2.185214996E1;2.021536255E1
5.565293603E2;5.193946838E0;-2.186814880E1;1.988229370E1
5.565444393E2;4.887825012E0;-2.179778290E1;1.929577637E1
5.565595193E2;5.114631653E0;-2.169580841E1;2.004055786E1
5.565745983E2;5.102378845E0;-2.146922302E1;2.029342651E1
5.565896778E2;5.218177795E0;-2.169859314E1;1.983392334E1
5.566047568E2;5.155296326E0;-2.184613037E1;1.988809204E1
5.566198368E2;5.056030273E0;-2.137823486E1;1.933218384E1
5.566349157E2;5.194496155E0;-2.163040161E1;1.973889160E1
5.566499948E2;5.286315918E0;-2.165253448E1;1.941262817E1
5.566650738E2;5.230743408E0;-2.148118591E1;1.925994873E1
5.566801528E2;5.266593933E0;-2.166761780E1;1.949487305E1
5.566952328E2;5.219932556E0;-2.148760986E1;1.948025513E1
5.567103118E2;5.222808838E0;-2.168566132E1;1.929129028E1
5.567253907E2;5.271804810E0;-2.153945923E1;2.006872559E1
5.567404698E2;5.386894226E0;-2.164572144E1;1.976354980E1
