"Time (s)";"X (hPa)"
4.392737979E2;1.008168488E3
4.402743799E2;1.008207321E3
4.412749499E2;1.008240280E3
4.422755329E2;1.008240280E3
4.432761069E2;1.008233337E3
4.442771219E2;1.008201981E3
4.452772609E2;1.008183441E3
4.462778309E2;1.008177872E3
4.472784089E2;1.008177872E3
4.482789899E2;1.008206253E3
4.492795649E2;1.008252411E3
4.502801439E2;1.008269348E3
4.512807219E2;1.008269348E3
4.522812929E2;1.008270264E3
4.532818729E2;1.008265457E3
4.542824459E2;1.008265305E3
4.552830229E2;1.008265305E3
4.562836019E2;1.008267593E3
4.572841739E2;1.008267593E3
4.582847489E2;1.008213120E3
4.592853319E2;1.008178940E3
4.602859049E2;1.008147354E3
4.612864849E2;1.008073578E3
4.622870609E2;1.008018799E3
4.632876339E2;1.007985916E3
4.642882149E2;1.007918243E3
4.652888449E2;1.007845306E3
4.662893659E2;1.007840805E3
4.672899439E2;1.007840805E3
4.682905149E2;1.007841797E3
4.692910929E2;1.007841873E3
4.702916709E2;1.007841873E3
4.712922479E2;1.007847061E3
4.722928219E2;1.007861404E3
4.732938289E2;1.007895432E3
4.742939759E2;1.007967682E3
4.752945529E2;1.008066635E3
4.762951259E2;1.008132477E3
4.772957049E2;1.008168640E3
4.782962799E2;1.008209686E3
4.792968579E2;1.008209686E3
4.802974319E2;1.008203506E3
4.812980119E2;1.008195877E3
4.822985869E2;1.008186646E3
4.832991629E2;1.008182831E3
4.842997409E2;1.008172379E3
4.853003129E2;1.008161316E3
4.863008939E2;1.008160706E3
4.873014729E2;1.008160706E3
4.883020469E2;1.008123779E3
4.893026279E2;1.008089294E3
4.903032069E2;1.008069992E3
4.913037819E2;1.008026581E3
4.923043519E2;1.007997818E3
4.933049339E2;1.007994080E3
4.943055089E2;1.007990875E3
4.953060839E2;1.007990875E3
4.963066569E2;1.008065643E3
4.973072369E2;1.008110580E3
4.983078109E2;1.008140793E3
4.993083879E2;1.008184052E3
5.003089659E2;1.008184052E3
5.013095409E2;1.008168640E3
5.023101159E2;1.008138428E3
5.033106929E2;1.008138428E3
5.043112749E2;1.008159103E3
5.053118459E2;1.008191910E3
5.063124239E2;1.008252716E3
5.073129979E2;1.008300552E3
5.083135699E2;1.008350449E3
5.093141529E2;1.008385468E3
5.103147319E2;1.008414078E3
5.113153039E2;1.008418503E3
5.123158859E2;1.008434525E3
5.133164579E2;1.008446350E3
5.143170379E2;1.008457642E3
5.153176129E2;1.008457642E3
5.163181889E2;1.008455963E3
5.173187659E2;1.008446655E3
5.183193399E2;1.008438568E3
5.193199139E2;1.008425140E3
5.203204949E2;1.008418503E3
5.213210669E2;1.008410568E3
5.223216479E2;1.008402405E3
5.233222269E2;1.008395691E3
5.243227979E2;1.008395691E3
5.253233769E2;1.008396759E3
5.263239529E2;1.008421707E3
5.273245319E2;1.008462830E3
5.283251039E2;1.008502502E3
5.293256839E2;1.008532944E3
5.303262609E2;1.008554535E3
5.313268349E2;1.008554535E3
5.323274129E2;1.008541794E3
5.333284089E2;1.008503876E3
5.343285619E2;1.008458710E3
5.353291459E2;1.008403931E3
5.363297139E2;1.008316650E3
5.373302949E2;1.008217010E3
5.383308759E2;1.008164902E3
5.393314519E2;1.008164902E3
5.403320299E2;1.008196716E3
5.413326039E2;1.008241882E3
5.423331749E2;1.008305435E3
5.433337569E2;1.008320541E3
5.443344939E2;1.008320541E3
5.453349119E2;1.008290176E3
5.463354859E2;1.008290176E3
5.473360569E2;1.008288116E3
5.483366429E2;1.008288116E3
5.493372149E2;1.008283157E3
5.503377909E2;1.008260498E3
5.513383609E2;1.008217545E3
5.523389409E2;1.008199768E3
5.533395209E2;1.008199768E3
5.543400989E2;1.008213272E3
5.553410449E2;1.008228455E3
5.563412469E2;1.008257294E3
5.573418259E2;1.008270493E3
5.583423999E2;1.008288574E3
5.593429779E2;1.008295670E3
5.603435579E2;1.008297119E3
5.613441309E2;1.008299942E3
5.623447069E2;1.008300705E3
5.633453369E2;1.008313980E3
5.643458619E2;1.008325043E3
5.653464369E2;1.008341522E3
5.663470079E2;1.008341522E3
5.673475949E2;1.008338776E3
5.683481709E2;1.008295593E3
5.693487419E2;1.008235931E3
5.703493189E2;1.008182907E3
5.713498949E2;1.008134460E3
5.723504729E2;1.008091431E3
5.733510519E2;1.008054504E3
5.743520679E2;1.008033295E3
5.753522039E2;1.008014603E3
5.763527819E2;1.008014603E3
5.773533549E2;1.008015823E3
5.783539349E2;1.008050995E3
5.793545079E2;1.008085175E3
5.803550889E2;1.008122864E3
5.813556649E2;1.008128052E3
5.823563199E2;1.008128052E3
5.833568139E2;1.008128052E3
5.843573949E2;1.008134079E3
5.853579699E2;1.008157120E3
5.863585429E2;1.008168106E3
5.873591209E2;1.008204651E3
5.883596989E2;1.008253326E3
5.893602729E2;1.008270721E3
5.903608489E2;1.008277969E3
5.913614239E2;1.008304901E3
5.923620019E2;1.008351135E3
5.933625819E2;1.008366623E3
5.943631549E2;1.008389893E3
5.953637349E2;1.008426666E3
5.963643119E2;1.008464890E3
5.973648839E2;1.008489685E3
5.983654629E2;1.008497772E3
5.993660389E2;1.008506012E3
6.003666179E2;1.008509445E3
6.013673819E2;1.008509445E3
6.023677669E2;1.008506622E3
6.033683449E2;1.008506622E3
6.043689239E2;1.008519440E3
6.053694979E2;1.008533020E3
6.063700719E2;1.008550949E3
6.073706449E2;1.008586807E3
6.083712259E2;1.008635712E3
6.093718039E2;1.008642349E3
6.103723749E2;1.008642349E3
6.113729529E2;1.008638153E3
6.123737369E2;1.008613586E3
6.133741069E2;1.008589706E3
6.143746829E2;1.008575363E3
6.153752649E2;1.008563004E3
6.163758359E2;1.008524399E3
6.173764089E2;1.008513947E3
6.183769909E2;1.008498993E3
6.193775729E2;1.008484192E3
6.203781409E2;1.008437042E3
6.213787199E2;1.008418884E3
6.223792949E2;1.008343124E3
6.233799319E2;1.008251495E3
6.243804509E2;1.008166199E3
6.253810269E2;1.008144302E3
6.263815969E2;1.008144302E3
6.273821749E2;1.008198853E3
6.283827589E2;1.008265686E3
6.293833349E2;1.008345795E3
6.303839109E2;1.008400955E3
6.313844819E2;1.008460236E3
6.323850559E2;1.008500366E3
6.333856409E2;1.008500366E3
6.343862159E2;1.008503036E3
6.353867899E2;1.008503494E3
6.363873679E2;1.008503494E3
6.373879409E2;1.008503494E3
6.383885179E2;1.008507385E3
6.393890999E2;1.008514099E3
6.403896789E2;1.008514099E3
6.413902479E2;1.008512955E3
6.423911509E2;1.008512955E3
6.433913979E2;1.008527069E3
6.443919799E2;1.008527069E3
6.453925529E2;1.008524628E3
6.463931289E2;1.008521118E3
6.473937099E2;1.008506699E3
6.483942829E2;1.008490524E3
6.493948599E2;1.008483124E3
6.503955739E2;1.008479691E3
6.513960109E2;1.008472672E3
6.523965919E2;1.008465576E3
6.533971679E2;1.008465576E3
6.543977409E2;1.008469543E3
6.553983169E2;1.008478241E3
6.563989029E2;1.008497543E3
6.573994679E2;1.008517685E3
6.584000499E2;1.008536911E3
6.594006219E2;1.008552246E3
6.604011979E2;1.008563232E3
6.614017789E2;1.008565140E3
6.624023529E2;1.008566132E3
6.634029319E2;1.008568115E3
6.644035049E2;1.008573380E3
