"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
3.100484135E0;-2.410158962E-1;2.117211558E-2;-1.242363751E-1
3.117150124E0;-2.300969511E-1;6.697845459E-2;-5.446160212E-2
3.133816114E0;-1.972069293E-1;1.354216337E-1;2.117211558E-2
3.150482103E0;-8.269108832E-2;2.074600905E-1;1.030642539E-1
3.167148093E0;1.023984700E-1;2.110553533E-1;1.494032294E-1
3.183814083E0;1.701758653E-1;1.695100814E-1;1.992042959E-1
3.200480072E0;1.127847880E-1;7.869634777E-2;2.419480085E-1
3.217146062E0;-1.464737486E-2;-1.478053257E-2;2.531332672E-1
3.233812051E0;-1.153147891E-1;-6.511423737E-2;2.447443157E-1
3.250478041E0;-2.266348451E-1;-4.567318037E-2;2.415485233E-1
3.267144030E0;-3.217096329E-1;1.057274193E-1;1.809616536E-1
3.283810020E0;-3.137201369E-1;3.468764722E-1;6.578002870E-2
3.300476010E0;-1.830921918E-1;6.607297659E-1;-6.045371294E-2
3.317141999E0;-5.938844755E-2;8.061382771E-1;-9.134636074E-2
3.333807989E0;-6.524739787E-3;7.143924236E-1;-2.649843320E-2
3.350473978E0;-2.876211889E-2;4.414186180E-1;8.548741043E-2
3.367139968E0;-2.257027328E-1;2.689790726E-2;2.442116886E-1
3.383805958E0;-5.113265514E-1;-1.809616536E-1;3.536675274E-1
3.400471947E0;-7.052045465E-1;-1.825595498E-1;3.560643792E-1
3.417137937E0;-6.659229398E-1;-8.575372398E-2;2.989396155E-1
3.433803926E0;-4.235754609E-1;-3.728422895E-2;1.934785098E-1
3.450469916E0;-1.122521535E-1;1.838911325E-1;6.178529188E-2
3.467135905E0;3.661843762E-2;4.226433635E-1;4.527370632E-2
3.483801895E0;-1.944106072E-2;5.830987096E-1;4.434159771E-2
3.500467885E0;-2.033322006E-1;6.387587190E-1;3.954791278E-2
3.517133874E0;-4.141212404E-1;5.747097135E-1;4.367581010E-2
3.533799864E0;-5.853623748E-1;4.643217921E-1;4.460791498E-2
3.550465853E0;-6.597976685E-1;3.884217441E-1;3.102580272E-2
3.567131843E0;-5.882918239E-1;2.901511788E-1;-6.791055668E-3
3.583797833E0;-3.977428079E-1;1.984053552E-1;-1.012000442E-2
3.600463822E0;-1.344895363E-1;1.135837361E-1;3.249054030E-2
3.617129812E0;9.041424841E-2;-7.403582335E-2;1.904158667E-2
