sensor,axis,start_time,end_time,start_idx,end_idx,mean,std,min,max,range,median,variance,dominant_freq,spectral_centroid,activity
Accelerometer,Acceleration x (m/s^2),180.0170366,185.0001675,10800,11100,0.3348370930142,3.880259379057025,-9.977835655,13.57691956,23.554755215,-0.020350714215000003,15.05641284876001,3.6,9.835764736242695,walking
Accelerometer,Acceleration x (m/s^2),185.0168335,189.9999644,11100,11400,0.4700356619204,3.946325228684887,-9.185355186,13.51347256,22.698827746,0.03471592441,15.573482810554824,3.6,10.413776371431972,walking
Accelerometer,Acceleration x (m/s^2),190.0166304,194.9997612,11400,11700,0.3187919440455667,4.16835822335423,-9.700108528,14.7644434,24.464551928,0.04728548415,17.375210278204833,4.4,10.479691000521889,walking
Accelerometer,Acceleration x (m/s^2),195.0164272,199.9995581,11700,12000,0.42709564784252657,4.431800839320562,-8.829815865,16.37933159,25.209147455,-0.037708676420000004,19.640858679402438,4.4,10.080639417460795,walking
Accelerometer,Acceleration x (m/s^2),200.0162241,204.999355,12000,12300,0.3167149815267667,3.697521611715027,-7.43339777,13.08191776,20.51531553,0.08050503209,13.671666069099693,3.6,9.85607673041349,walking
Accelerometer,Acceleration x (m/s^2),205.016021,209.9991519,12300,12600,0.5347768748626367,4.005601774655207,-9.528324127,15.52340508,25.051729207,0.19931729135,16.04484557712094,4.4,10.036297955278346,walking
Accelerometer,Acceleration x (m/s^2),210.0158179,214.9989487,12600,12900,0.42407098064050003,3.6395557478573406,-6.342240334,11.2593317,17.601572034,0.025139118079999998,13.246366041761405,4.4,9.216799643926285,walking
Accelerometer,Acceleration x (m/s^2),215.0156147,219.9987456,12900,13200,0.3862585595045333,4.045315643545327,-11.08515358,12.68029118,23.76544476,0.15951368955,16.36457865591254,3.6,9.999728155843888,walking
Accelerometer,Acceleration x (m/s^2),220.0154116,224.9985425,13200,13500,0.5059028028168667,3.9220618831078897,-7.983465672,13.00949383,20.992959502,0.1816600561,15.382569414927806,3.6,10.084378108207426,walking
Accelerometer,Acceleration x (m/s^2),225.0152085,229.9983394,13500,13800,0.3412675205792667,4.221720682099291,-9.41579628,14.00488281,23.42067909,-0.21368250249999998,17.822925517664906,3.6,9.183344036428403,walking
Accelerometer,Acceleration x (m/s^2),230.0150054,234.9981362,13800,14100,0.008718888794300028,3.6704730234802807,-9.691728592,12.47139645,22.163125042,-0.13437457385,13.472372216096474,3.6,9.878334474268161,walking
Accelerometer,Acceleration x (m/s^2),235.0148022,239.9979335,14100,14400,-1.9767826088477678,2.5630105428613863,-10.89840603,8.614337921,19.512743951,-1.411681235,6.569023042818618,0.2,7.700047632154269,walking
Accelerometer,Acceleration x (m/s^2),240.0145994,244.9977303,14400,14700,-3.3630214019359963,3.5370435618588507,-16.82585144,1.180341482,18.006192922,-2.1221605534999997,12.510677158487145,0.2,5.295382618571753,walking
Accelerometer,Acceleration x (m/s^2),245.0143963,250.1343526,14700,15000,-5.8494956392845,5.784051466674226,-30.84689522,6.5008564,37.34775162,-4.785111189,33.45525136913626,0.2,9.456511851605013,walking
Accelerometer,Acceleration x (m/s^2),250.1510186,255.2560479,15000,15300,-5.747472719092693,4.6862136255768485,-19.53070068,1.203684926,20.734385606,-4.666299105,21.960598144542114,0.2,7.5520180721988295,walking
Accelerometer,Acceleration x (m/s^2),255.2727139,260.2558448,15300,15600,-4.1467174474808335,4.7462393756221815,-23.53679848,9.496601105,33.033399585,-4.279635668,22.526788210706435,4.2,8.934575738201977,walking
Accelerometer,Acceleration x (m/s^2),260.2725107,265.2556416,15600,15900,-2.906233643347137,4.102905833014386,-20.44708061,6.686406612,27.133487222,-2.8778303865000003,16.833836274583472,3.4000000000000004,8.885896397751946,walking
Accelerometer,Acceleration x (m/s^2),265.2723076,270.2554385,15900,16200,0.40867625677863,3.5289334932749887,-7.897274494,12.50252151,20.399796004,-0.0188543389105,12.453371599958016,3.4000000000000004,9.17618024743054,walking
Accelerometer,Acceleration x (m/s^2),270.2721045,275.2552354,16200,16500,0.46437736709582,3.297284441124329,-7.556100368,12.33073711,19.886837478,0.10654197635,10.872084685680578,4.2,10.201993375669083,walking
Accelerometer,Acceleration x (m/s^2),275.2719014,280.2550323,16500,16800,0.5432782804912334,3.2491126624518096,-7.557297707,10.0610342,17.618331906999998,0.2666542083,10.556733093304686,3.4000000000000004,9.866403736960201,walking
Accelerometer,Acceleration x (m/s^2),280.2716982,285.2548277,16800,17100,0.32527025409,3.2099128776622656,-7.845798969,12.78384018,20.629639149,0.022744916375,10.303540682182048,3.4000000000000004,9.45303832816011,walking
Accelerometer,Acceleration x (m/s^2),285.2714937,290.2546246,17100,17400,0.34059514347588365,4.1022311480205955,-12.2505312,15.0493536,27.2998848,0.1640028134,16.828300391790375,3.4000000000000004,10.003088304020274,walking
Accelerometer,Acceleration x (m/s^2),290.2712906,295.2544215,17400,17700,0.24130959260744003,3.9183932316154038,-9.042900085,13.78701019,22.829910275,0.06853402406,15.353805517569405,3.4000000000000004,10.133380735064469,walking
Accelerometer,Acceleration x (m/s^2),295.2710874,300.2542183,17700,18000,0.41318135917503335,3.6963095106030517,-10.16518211,13.21120453,23.37638664,0.1574187651,13.662703998174571,3.4000000000000004,10.328244573375288,walking
Accelerometer,Acceleration x (m/s^2),300.2708843,305.2540152,18000,18300,0.23834676265303328,3.4727704941444952,-7.954136372,11.68849277,19.642629142,-0.052373161540000004,12.0601349050006,3.4000000000000004,9.848721579001538,walking
Accelerometer,Acceleration x (m/s^2),305.2706812,310.2538121,18300,18600,0.3382647846833333,3.919213876983821,-7.435193539,14.71775627,22.152949809,-0.30945056675000004,15.360237413542555,3.4000000000000004,9.311356462638265,walking
Accelerometer,Acceleration x (m/s^2),310.2704781,315.253609,18600,18900,0.46965259628430334,3.9916767511735975,-9.771335602,13.49132633,23.262661932,0.13617022335,15.933483285859806,3.4000000000000004,9.871652112513202,walking
Accelerometer,Acceleration x (m/s^2),315.2702749,320.2534058,18900,19200,0.2418423042011267,3.8935392900972716,-8.227674484,14.62498093,22.852655413999997,-0.10324994845499999,15.159648203531166,4.4,9.97038883742082,walking
Accelerometer,Acceleration x (m/s^2),320.2700718,325.2532027,19200,19500,0.48424924402235037,3.924810222415315,-8.24802494,14.27183628,22.519861220000003,0.07960720545,15.404135281975753,2.6,9.617245121994337,walking
Accelerometer,Acceleration x (m/s^2),325.2698687,330.2529996,19500,19800,0.4484220035599633,3.794348663457553,-8.386888504,13.10705757,21.493946074,0.23582886905,14.397081779882122,4.4,10.138427284009248,walking
Accelerometer,Acceleration x (m/s^2),330.2696656,335.2527965,19800,20100,0.2907937572341967,3.784351717484675,-9.166201591,12.07216358,21.238365170999998,-0.046088382600000005,14.321317921629209,4.4,9.799185922606492,walking
Accelerometer,Acceleration x (m/s^2),335.2694624,340.2525933,20100,20400,0.5232428131111666,3.9160809243676407,-9.91438961,13.37341213,23.28780174,-0.028431145475000003,15.335689806196115,4.2,10.296150552931952,walking
Accelerometer,Acceleration x (m/s^2),340.2692593,345.2523903,20400,20700,0.35899657511866667,3.7886896149855462,-8.155848503,15.13674164,23.292590142999998,-0.10025719551000001,14.354168998699327,3.4000000000000004,10.29121445554045,walking
