"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3.867119655E0;8.380529881E-1;1.747868061E0;-8.428449631E-1
3.883785645E0;6.846715212E-1;1.183540821E0;6.027860641E-1
3.900451635E0;1.740157604E-1;1.132297039E0;2.141704559E0
3.917117624E0;-1.334456205E-1;9.284803867E-1;2.841680527E0
3.933783614E0;-2.261856198E-1;9.258856773E-1;2.720076561E0
3.950449603E0;-3.846564889E-1;1.368530273E0;2.051817894E0
3.967115593E0;-2.957938910E-1;1.289892435E0;1.583647728E0
3.983781583E0;-2.346954346E-1;7.909612656E-1;1.550374031E0
4.000447572E0;1.368336678E-1;5.756807327E-1;1.847404480E0
4.017113562E0;6.199557781E-1;-1.254117489E-1;2.654408455E0
4.033779551E0;8.234699965E-1;-6.285948753E-1;3.113779068E0
4.050445541E0;4.763194323E-1;-5.831460953E-1;3.739764214E0
4.067111530E0;3.926939964E-1;-5.579514503E-1;3.467232704E0
4.083777520E0;5.839401484E-1;-9.258277416E-1;2.393588066E0
4.100443510E0;7.747637033E-1;-1.497542381E0;1.168811798E0
4.117109499E0;4.500186443E-1;-1.605041265E0;1.283264160E-1
4.133775489E0;2.539302111E-1;-1.431560040E0;-7.528333664E-1
4.150441478E0;5.905921459E-1;-1.423236132E0;-1.358736038E0
4.167107468E0;4.744142294E-1;-1.255891562E0;-1.619516850E0
4.183773458E0;3.002635241E-1;-1.116423130E0;-1.580780506E0
4.200439447E0;2.968162298E-1;-1.202200651E0;-1.862508297E0
4.217105437E0;7.308895588E-1;-1.328071117E0;-2.156498909E0
4.233771426E0;-1.285362244E-2;-1.459828258E0;-1.957764149E0
4.250437416E0;-2.349324226E-1;-7.327110767E-1;-1.601655006E0
4.267103405E0;6.649565697E-2;-4.197163582E-1;-1.380874157E0
4.283769395E0;1.654180884E-1;-3.092203140E-1;-1.749182224E0
4.300435385E0;-2.078101039E-1;1.258084774E-1;-1.958008766E0
4.317101374E0;-4.487221241E-1;2.874991894E-1;-2.162709713E0
4.333767364E0;-2.909843326E-1;3.184485435E-1;-2.254231930E0
4.350433353E0;-6.215357780E-2;1.950387955E-1;-2.093972683E0
4.367099343E0;6.769239902E-2;4.018471241E-1;-1.930119514E0
4.383765333E0;4.469024539E-1;5.641188622E-1;-1.696562767E0
4.400431322E0;6.199597120E-1;4.430177212E-1;-1.538026810E0
4.417097312E0;7.354741096E-1;4.044344425E-1;-6.767988205E-1
4.433763301E0;6.452077627E-1;1.481747627E-2;4.001874924E-1
4.450429291E0;6.428720951E-1;-1.922061443E-1;1.294428825E0
4.467095280E0;5.095525980E-1;-1.428222656E-2;1.732875824E0
4.483761270E0;-9.437869489E-2;7.951486111E-1;8.457937241E-1
4.500427260E0;-5.503620505E-1;1.433356047E0;-6.148614883E-1
4.517093249E0;-9.675968885E-1;1.933181524E0;-1.712350845E0
4.533759239E0;-7.241374254E-1;2.129344940E0;-1.566116810E0
4.550425228E0;1.178480834E-1;1.847042322E0;-8.359470367E-1
4.567091218E0;2.848071456E-1;1.264784336E0;8.066177368E-2
4.583757208E0;-1.316031814E-1;9.084303379E-1;5.560817719E-1
4.600423197E0;-6.166021824E-1;1.035335064E0;8.211050034E-1
4.617089187E0;-1.336564541E0;1.196273804E0;1.469590187E0
4.633755176E0;-1.211126924E0;1.315874815E0;2.623578072E0
4.650421166E0;-1.132040620E0;1.002520561E0;3.861046791E0
4.667087155E0;-1.008305550E0;8.062481880E-2;5.303585052E0
4.683753145E0;-6.189067960E-1;-1.131279945E0;5.930648804E0
4.700419135E0;-7.880308628E-1;-1.569113731E0;5.346982956E0
4.717085124E0;-7.323865891E-1;-2.129666805E0;3.991271973E0
4.733751114E0;-3.871148229E-1;-1.830593824E0;1.607743263E0
4.750417103E0;-6.499218345E-1;-8.323698044E-1;-2.253808975E-1
4.767083093E0;-6.462371349E-1;-5.001857281E-1;-1.624299526E0
4.783749083E0;-8.300670981E-1;-6.057641506E-1;-1.862709522E0
4.800415072E0;-8.834192157E-1;-8.930721283E-1;-1.381313324E0
4.817081062E0;-8.400471807E-1;-1.219600916E0;-7.461042404E-1
4.833747051E0;-4.395432472E-1;-1.397080183E0;-4.743709564E-1
4.850413041E0;-9.676478058E-2;-1.073852539E0;-1.160407066E0
4.867079030E0;8.663548529E-2;-6.621687412E-1;-2.304841042E0
4.883745020E0;8.798664808E-1;-1.216476440E0;-3.183115005E0
4.900411010E0;9.379037619E-1;-1.436385155E0;-3.457139969E0
4.917076999E0;4.330453277E-2;-8.329765797E-1;-3.246030807E0
4.933742989E0;-7.928054929E-1;1.652390957E-1;-2.936511993E0
4.950408978E0;-4.160057306E-1;2.690081596E-1;-2.519967556E0
4.967074968E0;5.684391856E-1;-6.642816067E-1;-2.336140156E0
4.983740958E0;6.240171790E-1;-4.858441353E-1;-1.636595726E0
5.000406947E0;5.293837786E-1;-2.867021561E-1;-1.451993465E0
5.017072937E0;4.005177021E-1;-3.348486423E-1;-1.196330070E0
5.033738926E0;2.485176325E-1;-3.342037201E-1;-9.968757629E-1
5.050404916E0;-6.333124638E-2;2.635815144E-1;-7.767734528E-1
5.067070905E0;8.187347651E-2;6.895635128E-1;-8.755435944E-1
5.083736895E0;5.116730332E-1;6.156096458E-1;-3.497285843E-1
