"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
5.874469949E0;2.777273893E0;1.014542937E0;6.916250229E0
5.891135938E0;3.268085241E0;7.960720658E-1;6.896498203E0
5.907801928E0;2.941875219E0;1.183932781E0;7.633912086E0
5.924467918E0;2.233790159E0;1.376665950E0;6.744466305E0
5.941133907E0;1.469441295E0;1.034295082E0;6.952163219E0
5.957799897E0;1.953070045E0;1.151610970E0;5.550956726E0
5.974465886E0;1.738190413E0;1.687912226E0;5.792770863E0
5.991131876E0;1.125873327E0;2.362478495E0;6.907870293E0
6.007797865E0;2.053027868E0;2.009333849E0;7.346607685E0
6.024463855E0;3.224391222E0;1.344344258E0;7.805097580E0
6.041129845E0;3.407547474E0;1.452681899E0;9.695918083E0
6.057795834E0;2.976591349E0;1.189319730E0;6.631340027E0
6.074461824E0;2.567781210E0;1.561618090E0;6.602609634E0
6.091127813E0;3.492541790E0;1.322197914E0;7.414842606E0
6.107793803E0;2.509721994E0;1.813607812E-1;8.430583000E0
6.124459793E0;2.373252392E0;-5.392939448E-1;1.067873859E1
6.141125782E0;3.193266630E0;-6.500257850E-1;1.067514706E1
6.157791772E0;2.796427488E0;-5.410895944E-1;9.919178009E0
6.174457761E0;1.399410844E0;2.214636654E-2;9.034520149E0
6.191123751E0;-2.364274114E-1;2.343923569E0;8.450334549E0
6.207789740E0;3.705027103E-1;5.209783077E0;7.850587368E0
6.224455730E0;1.829768658E0;5.168482780E0;9.363722801E0
6.241121720E0;1.935113549E0;5.866392612E0;9.160215378E0
6.257787709E0;1.734599113E0;6.439205647E0;1.113124180E1
6.274453699E0;2.108094692E0;5.431845188E0;1.202846909E1
6.291119688E0;2.855085611E0;3.565564871E0;1.299991703E1
6.307785678E0;2.958036184E0;3.127425909E0;1.367927170E1
6.324451668E0;3.454833031E0;3.442862034E0;1.266353130E1
6.341117657E0;3.014898539E0;3.779845953E0;9.843161583E0
6.357783647E0;1.875258446E0;4.195240021E0;8.672396660E0
6.374449636E0;1.270123959E0;4.595071793E0;9.655217171E0
6.391115626E0;4.185064793E0;1.711854219E0;9.873687744E0
6.407781615E0;3.688267708E0;1.886032343E0;1.009515190E1
6.424447605E0;6.745663285E-1;2.454655409E0;1.101991177E1
6.441113595E0;1.059434295E0;1.365293503E0;1.110430717E1
6.457779584E0;3.050811529E0;2.035071515E-2;9.436745644E0
6.474445574E0;3.188478231E0;4.584896266E-1;7.751826763E0
6.491111563E0;1.957259893E0;9.714473486E-1;6.919841290E0
6.507777553E0;1.724423766E0;1.482609391E0;6.141127586E0
6.524443543E0;3.532046080E0;2.017114908E-1;5.918466568E0
6.541109532E0;3.070563793E0;-3.633201122E-1;6.876147270E0
6.557775522E0;2.622848034E0;-6.763619781E-1;6.235099792E0
6.574441511E0;2.831143618E0;-5.153518915E-1;3.025073767E0
6.591107501E0;3.581725836E0;-6.135141850E-1;8.110358119E-1
6.607773490E0;4.669890404E0;-2.747346461E-1;1.148019671E0
6.624439480E0;5.251681328E0;-5.638344884E-1;3.429693937E0
6.641105470E0;5.689820290E0;-6.362590790E-1;4.484938145E0
6.657771459E0;5.740098476E0;-4.273650050E-1;3.116652012E0
6.674437449E0;5.347449303E0;-2.896983922E-1;1.355716705E0
6.691103438E0;5.472546577E0;-7.314286232E-1;4.129997790E-1
6.707769428E0;4.942230701E0;-1.041477680E0;5.596446395E-1
6.724435418E0;5.537189960E0;-1.506551385E0;4.291606545E-1
6.741101407E0;6.630741596E0;-2.221220732E0;5.333084464E-1
6.757767397E0;7.603984833E0;-2.657563925E0;1.588552833E0
6.774433386E0;7.823053837E0;-2.856881142E0;2.654571056E0
6.791099376E0;8.372523308E0;-2.995146275E0;1.593341231E0
6.807765365E0;9.101557732E0;-3.551199675E0;7.104793787E-1
6.824431355E0;9.820416451E0;-4.317344189E0;1.464054346E0
6.841097345E0;1.035671806E1;-5.334281445E0;2.935291290E0
6.857763334E0;1.088823032E1;-6.042366505E0;4.276642799E0
6.874429324E0;1.122282028E1;-6.606799603E0;4.323329926E0
6.891095313E0;1.111508179E1;-7.560290337E0;3.491943121E0
6.907761303E0;1.102410126E1;-8.166023254E0;3.130418777E0
6.924427293E0;1.137425327E1;-8.495225906E0;2.764704466E0
6.941093282E0;1.186087513E1;-8.886677742E0;2.229600430E0
6.957759272E0;1.234031391E1;-9.203909874E0;1.728613615E0
6.974425261E0;1.360086155E1;-9.974843025E0;8.523358107E-1
6.991091251E0;1.429996777E1;-1.086428833E1;1.496376097E-1
7.007757240E0;1.449569416E1;-1.115398693E1;7.044938207E-1
7.024423230E0;1.476324654E1;-1.146822643E1;1.456871748E0
7.041089220E0;1.449868679E1;-1.037647057E1;2.270301819E0
7.057755209E0;1.465969658E1;-8.966883659E0;2.287659645E0
7.074421199E0;1.472673512E1;-7.310096264E0;2.501342297E0
