"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
5.522513958E0;4.411041364E-2;-3.320243210E-2;3.873988986E-2
5.537590958E0;1.677686721E-2;-1.115785912E-2;3.279343247E-2
5.552666958E0;-2.091905475E-2;2.426655032E-3;1.814073697E-2
5.567743958E0;-3.937582672E-2;2.996800095E-2;1.668265462E-2
5.582820958E0;-2.957013436E-2;2.971155196E-2;1.585033908E-2
5.597896958E0;-2.821021946E-3;3.326500580E-2;1.729725301E-2
5.612973958E0;3.701064363E-2;5.384724960E-2;2.700627968E-2
5.628050958E0;6.898827851E-2;6.132460758E-2;1.415306609E-2
5.643126958E0;8.688941598E-2;6.881926954E-2;6.235481240E-3
5.658203958E0;1.111786291E-1;6.902912259E-2;-1.566679217E-3
5.673280958E0;1.109998673E-1;6.596755981E-2;-1.913537085E-2
5.688357958E0;8.570489287E-2;6.997881085E-2;-3.225383162E-2
5.703433958E0;4.193301871E-2;6.013736874E-2;-5.386804044E-2
5.718510958E0;-4.777050577E-3;4.296369851E-2;-7.520706952E-2
