"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.765392708E0;3.995191956E-1;-7.976762238E0;-4.177961884E0
3.780511708E0;-7.035369873E-2;-6.788832550E0;-3.976630554E0
3.795630708E0;2.065704346E-1;-6.534661102E0;-2.910547485E0
3.810748708E0;2.375559998E-1;-6.815776520E0;-1.970801697E0
3.825867708E0;4.246669006E-1;-7.440726929E0;-1.517693939E0
3.840986708E0;6.285429382E-1;-8.545279999E0;-1.058149567E0
3.856105708E0;7.337741089E-1;-1.021909927E1;-1.775308228E-1
3.871223708E0;9.868977356E-1;-1.169742508E1;4.059558105E-1
3.886342708E0;8.113128662E-1;-1.246727417E1;1.068478088E0
3.901461708E0;5.219645691E-1;-1.230156876E1;1.323547668E0
3.916580708E0;1.836680603E-1;-1.070498886E1;1.237925720E-1
3.931698708E0;-4.969665527E-2;-9.060209198E0;-1.213227081E0
3.946817708E0;2.514770508E-1;-8.015681305E0;-1.883084106E0
3.961936375E0;2.609074402E-1;-7.556735687E0;-1.600022736E0
3.977055375E0;4.555027771E-1;-7.584727478E0;-1.403481445E0
3.992173375E0;9.409432983E-1;-7.745792542E0;-1.484762421E0
4.007292375E0;1.481469269E0;-8.102949829E0;-1.426383820E0
4.022411375E0;2.129322052E0;-8.124505005E0;-1.406325531E0
4.037530375E0;2.312541046E0;-8.085286560E0;-1.055904236E0
4.052648375E0;2.081870728E0;-7.905061340E0;-6.231541443E-1
4.067767375E0;1.150208130E0;-7.394473114E0;-5.194198608E-1
4.082886375E0;8.586145020E-1;-7.195536804E0;-2.998265076E-1
4.098005375E0;7.737409973E-1;-7.398215332E0;-5.748046875E-2
4.113123375E0;1.050814819E0;-7.573500824E0;4.161346436E-2
4.128242375E0;7.875123596E-1;-7.483537903E0;-7.873626709E-2
4.143361375E0;9.280700684E-1;-7.360942841E0;-2.032772827E-1
4.158480375E0;7.056326294E-1;-7.640112305E0;-1.067280579E0
4.173598375E0;4.288581848E-1;-8.109087067E0;-1.676363983E0
4.188717375E0;7.014413452E-1;-8.590485992E0;-1.588197327E0
4.203836375E0;2.059118042E0;-8.922645264E0;-8.295748901E-1
4.218955375E0;3.377576294E0;-9.085057526E0;-6.213578796E-1
4.234074375E0;4.320016479E0;-9.620045013E0;-8.387059021E-1
4.249192375E0;4.850513306E0;-1.049572403E1;-1.102008362E0
4.264311375E0;4.385729828E0;-1.169937103E1;-1.272354126E0
4.279430375E0;3.476670227E0;-1.294537994E1;-1.192270660E0
4.294549375E0;2.512824554E0;-1.403361694E1;-7.268884277E-1
4.309667375E0;1.107097778E0;-1.478191086E1;-7.634124756E-2
4.324786375E0;4.572990417E-1;-1.533860321E1;8.237370300E-1
4.339905375E0;9.252259827E-1;-1.554457489E1;1.205293579E0
4.355024375E0;1.654958496E0;-1.555699905E1;5.978567505E-1
4.370142375E0;2.508184204E0;-1.507560013E1;4.894821167E-2
4.385261375E0;2.389481049E0;-1.425425812E1;-4.819976807E-1
4.400380375E0;2.047142944E0;-1.360191467E1;-2.568658447E-1
4.415499375E0;1.086141357E0;-1.297920959E1;-9.981243896E-1
4.430617375E0;4.391867065E-1;-1.332663712E1;-1.491199036E0
4.445736375E0;-6.427633667E-1;-1.371717499E1;-1.603465576E0
4.460855375E0;-1.186582489E0;-1.304492294E1;-2.403851166E0
4.475974375E0;-1.019080811E0;-1.262250137E1;-3.199596405E0
4.491092375E0;-1.033151550E0;-1.188318878E1;-2.662513275E0
4.506211375E0;-9.400451660E-2;-1.032657578E1;-1.277443542E0
4.521330375E0;1.635199585E0;-8.238118744E0;-1.468446350E-1
4.536449375E0;2.627486115E0;-9.106612701E0;-9.339079285E-1
4.551567375E0;3.001408539E0;-1.012374756E1;-8.159532166E-1
4.566686375E0;2.266287231E0;-1.068972061E1;-4.555027771E-1
4.581805375E0;1.514251099E0;-1.034513718E1;-1.185983734E0
4.596924375E0;-2.628533936E-1;-1.040321640E1;-1.277144165E0
4.612042375E0;-2.979553986E0;-8.666976929E0;-1.532363434E0
4.627161375E0;-4.060306549E0;-6.252946930E0;-1.246607666E0
4.642280375E0;-3.412603455E0;-4.930447083E0;-5.391787720E-1
4.657399375E0;-1.556912384E0;-4.419858856E0;-2.981799316E-1
4.672517375E0;-7.033872986E-1;-4.443359985E0;1.646575928E-3
4.687636375E0;9.816586304E-1;-4.475243683E0;2.398013306E-1
4.702755375E0;2.667602692E0;-5.675896912E0;-9.583071899E-1
4.717874375E0;2.026336212E0;-6.643185425E0;-1.949845276E0
4.732992375E0;6.125262451E-1;-6.780000916E0;-2.788551178E0
4.748111375E0;-1.869612122E-1;-5.738616486E0;-3.506757660E0
4.763230375E0;-3.381468201E-1;-3.543132019E0;-3.633843384E0
4.778349375E0;7.349716187E-2;-3.486849060E0;-3.481909332E0
4.793467375E0;2.650987244E-1;-4.873116302E0;-4.122726746E0
4.808586375E0;1.144819336E0;-6.936874695E0;-4.739144897E0
4.823705375E0;2.571652222E0;-8.444539490E0;-4.472249908E0
4.838824375E0;4.986730042E0;-8.754844208E0;-4.896767120E0
4.853942375E0;6.218518524E0;-9.139394531E0;-4.901257782E0
4.869061375E0;5.665568390E0;-8.407266998E0;-5.406606903E0
4.884180375E0;2.160606995E0;-8.471633148E0;-5.941295013E0
4.899299375E0;-7.057823181E-1;-1.132604736E1;-5.825435944E0
4.914417375E0;6.348298645E-1;-1.475421844E1;-5.044509888E0
4.929536375E0;6.047424316E-1;-1.685509964E1;-4.346062317E0
4.944655375E0;1.080004120E0;-1.497500931E1;-3.348087616E0
